Location Type,Item ID,Original Text,Entity Type,Start Offset,End Offset,Review (TP/FP/FN)
Body Paragraph,2,KSH INTERNATIONAL LIMITED,ORG,0,25,TP
Body Paragraph,13,the Book Running Lead Managers,ORG,35,65,TP
Body Paragraph,13,Anchor Investors,ORG,97,113,TP
Body Paragraph,13,the SEBI ICDR Regulations,ORG,133,158,TP
Body Paragraph,14,UPI,ORG,4,7,TP
Body Paragraph,14,5:00 p.m.,DATE_TIME,46,55,TP
Body Paragraph,17,1956,DATE_TIME,129,133,TP
Body Paragraph,17,"July 30, 1979",DATE,184,197,TP
Body Paragraph,17,the Registrar of Companies,ORG,209,235,TP
Body Paragraph,17,Maharashtra,ORG,237,248,TP
Body Paragraph,17,Bombay,LOCATION,252,258,TP
Body Paragraph,17,"June 1, 1996",DATE,428,440,TP
Body Paragraph,17,Board,ORG,455,460,TP
Body Paragraph,17,"June 24, 1996",DATE,484,497,TP
Body Paragraph,17,"July 4, 1996",DATE,580,592,TP
Body Paragraph,17,Registrar of Companies Maharashtra,ORG,607,641,TP
Body Paragraph,17,1956,DATE_TIME,704,708,TP
Body Paragraph,17,"January 13, 2011",DATE,782,798,TP
Body Paragraph,17,"August 16, 2011",DATE,862,877,TP
Body Paragraph,17,Registrar of Companies,ORG,953,975,TP
Body Paragraph,17,Maharashtra,ORG,977,988,TP
Body Paragraph,17,the Registrar of Companies,ORG,1022,1048,TP
Body Paragraph,17,Maharashtra,ORG,1050,1061,TP
Body Paragraph,17,"October 13, 2011",DATE,1226,1242,TP
Body Paragraph,17,Board,ORG,1388,1393,TP
Body Paragraph,17,"December 11, 2024",DATE,1397,1414,TP
Body Paragraph,17,"December 19, 2024",DATE,1470,1487,TP
Body Paragraph,17,"the Registrar of Companies,",ORG,1611,1638,TP
Body Paragraph,17,Central Processing Centre,ORG,1639,1664,TP
Body Paragraph,17,"January 20, 2025",DATE,1668,1684,TP
Body Paragraph,18,Village Birdewadi,LOCATION,94,111,TP
Body Paragraph,18,Chakan Taluka - Khed,PERSON,113,133,TP
Body Paragraph,18,Pune,LOCATION,135,139,TP
Body Paragraph,18,410 501,POSTAL_CODE,142,149,TP
Body Paragraph,18,Maharashtra,LOCATION,151,162,TP
Body Paragraph,18,India,LOCATION,164,169,TP
Body Paragraph,18,Corporate Office,ORG,171,187,TP
Body Paragraph,18,Montreal Business Centre,ORG,203,227,TP
Body Paragraph,18,Off Pallod Farms,ORG,229,245,TP
Body Paragraph,18,Baner,LOCATION,247,252,TP
Body Paragraph,18,Pune,LOCATION,254,258,TP
Body Paragraph,18,411 045,POSTAL_CODE,261,268,TP
Body Paragraph,18,Maharashtra,LOCATION,270,281,TP
Body Paragraph,18,India,LOCATION,283,288,TP
Body Paragraph,18,+ 91 20 4505 3237,PHONE_NUMBER,378,395,TP
Body Paragraph,22,the Book Running Lead Managers,ORG,38,68,TP
Body Paragraph,22,Anchor Investors,ORG,100,116,TP
Body Paragraph,22,the SEBI ICDR Regulations,ORG,136,161,TP
Body Paragraph,22,UPI,ORG,171,174,TP
Body Paragraph,22,5:00 p.m.,DATE_TIME,213,222,TP
Body Paragraph,41,This Red Herring Prospectus,ORG,0,27,TP
Body Paragraph,42,KSH International Limited,ORG,129,154,TP
Body Paragraph,42,"July 30, 1979",DATE,182,195,TP
Body Paragraph,42,1956,DATE_TIME,221,225,TP
Body Paragraph,42,Village Birdewadi,LOCATION,283,300,TP
Body Paragraph,42,Chakan Taluka - Khed,PERSON,302,322,TP
Body Paragraph,42,Pune,LOCATION,324,328,TP
Body Paragraph,42,410 501,POSTAL_CODE,331,338,TP
Body Paragraph,42,Maharashtra,LOCATION,340,351,TP
Body Paragraph,42,India,LOCATION,353,358,TP
Body Paragraph,42,Corporate Office,ORG,367,383,TP
Body Paragraph,42,Montreal Business Centre,ORG,401,425,TP
Body Paragraph,42,Off Pallod Farms,ORG,427,443,TP
Body Paragraph,42,Baner,LOCATION,445,450,TP
Body Paragraph,42,Pune,LOCATION,452,456,TP
Body Paragraph,42,411 045,POSTAL_CODE,459,466,TP
Body Paragraph,42,Maharashtra,LOCATION,468,479,TP
Body Paragraph,42,India,LOCATION,481,486,TP
Body Paragraph,43,SCRR,PERSON,236,240,TP
Body Paragraph,45,India,LOCATION,54,59,TP
Body Paragraph,110,Technical and Industry Related Terms,ORG,0,36,TP
Body Paragraph,123,Key Financial and Operating Metrics,ORG,0,35,TP
Body Paragraph,128,India,LOCATION,50,55,TP
Body Paragraph,128,the Republic of India,LOCATION,64,85,TP
Body Paragraph,128,the “State Government,ORG,221,242,TP
Body Paragraph,128,the Government of India,ORG,251,274,TP
Body Paragraph,128,US,LOCATION,339,341,TP
Body Paragraph,128,USA,LOCATION,345,348,TP
Body Paragraph,128,U.S.,LOCATION,356,360,TP
Body Paragraph,128,the “United States,LOCATION,365,383,TP
Body Paragraph,128,the United States of America,LOCATION,392,420,TP
Body Paragraph,128,EU,ORG,484,486,TP
Body Paragraph,128,the European Union,ORG,495,513,TP
Body Paragraph,128,Sweden,LOCATION,577,583,TP
Body Paragraph,128,Sweden,LOCATION,592,598,TP
Body Paragraph,129,this Red Herring Prospectus,ORG,113,140,TP
Body Paragraph,130,Financial Data,ORG,0,14,TP
Body Paragraph,131,financial year,DATE_TIME,14,28,TP
Body Paragraph,131,April 1,DATE_TIME,42,49,TP
Body Paragraph,131,March 31,DATE_TIME,105,113,TP
Body Paragraph,131,a particular financial year or,DATE_TIME,182,212,TP
Body Paragraph,131,12-month,DATE_TIME,231,239,TP
Body Paragraph,131,April 1,DATE_TIME,261,268,TP
Body Paragraph,131,March 31,DATE_TIME,326,334,TP
Body Paragraph,131,that particular calendar year,DATE_TIME,338,367,TP
Body Paragraph,131,a Fiscal/Fiscal Year,ORG,505,525,TP
Body Paragraph,131,the year ended on March 31,DATE_TIME,533,559,TP
Body Paragraph,132,the Restated Financial Statements,ORG,163,196,TP
Body Paragraph,133,"the three months period ended June 30, 2025",DATE_TIME,125,168,TP
Body Paragraph,133,the years ended March 31,DATE_TIME,177,201,TP
Body Paragraph,133,2025,DATE_TIME,203,207,TP
Body Paragraph,133,"March 31, 2024",DATE,209,223,TP
Body Paragraph,133,"March 31, 2023",DATE,228,242,TP
Body Paragraph,133,three-months,DATE_TIME,584,596,TP
Body Paragraph,133,"June 30, 2025",DATE,610,623,TP
Body Paragraph,133,the years ended March 31,DATE_TIME,633,657,TP
Body Paragraph,133,2025,DATE_TIME,659,663,TP
Body Paragraph,133,"March 31, 2024",DATE,665,679,TP
Body Paragraph,133,"March 31, 2023",DATE,684,698,TP
Body Paragraph,133,2024,DATE_TIME,713,717,TP
Body Paragraph,133,2023,DATE_TIME,722,726,TP
Body Paragraph,133,SEBI ICDR Regulations,ORG,827,848,TP
Body Paragraph,133,2019,DATE_TIME,912,916,TP
Body Paragraph,133,ICAI,ORG,928,932,TP
Body Paragraph,133,the Indian Accounting Standards,ORG,967,998,TP
Body Paragraph,133,India,LOCATION,1095,1100,TP
Body Paragraph,134,Ind AS,ORG,42,48,TP
Body Paragraph,134,US,LOCATION,63,65,TP
Body Paragraph,134,IFRS,ORG,75,79,TP
Body Paragraph,134,IFRS,ORG,157,161,TP
Body Paragraph,134,US,LOCATION,165,167,TP
Body Paragraph,135,Company,ORG,60,67,TP
Body Paragraph,135,Ind AS,ORG,153,159,TP
Body Paragraph,135,U.S.,LOCATION,161,165,TP
Body Paragraph,135,IFRS,ORG,175,179,TP
Body Paragraph,135,United States,LOCATION,375,388,TP
Body Paragraph,135,U.S.,LOCATION,432,436,TP
Body Paragraph,136,2013,DATE_TIME,161,165,TP
Body Paragraph,136,the SEBI ICDR Regulations,ORG,170,195,TP
Body Paragraph,142,Non-GAAP Financial,ORG,0,18,TP
Body Paragraph,143,EBITDA,ORG,71,77,TP
Body Paragraph,143,EBITDA Margin,ORG,79,92,TP
Body Paragraph,143,Ind AS,ORG,365,371,TP
Body Paragraph,143,IFRS,ORG,373,377,TP
Body Paragraph,143,US,LOCATION,381,383,TP
Body Paragraph,143,IFRS,ORG,510,514,TP
Body Paragraph,143,US,LOCATION,518,520,TP
Body Paragraph,143,Ind AS,ORG,679,685,TP
Body Paragraph,143,IFRS,ORG,687,691,TP
Body Paragraph,143,US,LOCATION,695,697,TP
Body Paragraph,143,Ind AS,ORG,1253,1259,TP
Body Paragraph,143,IFRS,ORG,1274,1278,TP
Body Paragraph,143,US,LOCATION,1282,1284,TP
Body Paragraph,143,Ind AS,ORG,1760,1766,TP
Body Paragraph,143,Company,ORG,2059,2066,TP
Body Paragraph,143,Adjusted EBITDA,ORG,2395,2410,TP
Body Paragraph,145,India,LOCATION,198,203,TP
Body Paragraph,145,"November 26, 2025",DATE,211,228,TP
Body Paragraph,145,CARE Analytics and Advisory Private Limited,ORG,258,301,TP
Body Paragraph,145,Offer,ORG,430,435,TP
Body Paragraph,145,"December 2, 2024",DATE_OF_BIRTH,522,538,TP
Body Paragraph,145,CareEdge Research,ORG,636,653,TP
Body Paragraph,145,"November 26, 2025",DATE,694,711,TP
Body Paragraph,145,CareEdge Research,ORG,791,808,TP
Body Paragraph,145,the Promoter Selling Shareholders,ORG,1070,1103,TP
Body Paragraph,145,the Book Running Lead Managers,ORG,1182,1212,TP
Body Paragraph,146,the CARE Report,ORG,1335,1350,TP
Body Paragraph,157,the SEBI ICDR Regulations,ORG,172,197,TP
Body Paragraph,158,₹,ORG,117,118,TP
Body Paragraph,159,₹,LOCATION,4,5,TP
Body Paragraph,165,India,LOCATION,786,791,TP
Body Paragraph,165,India,LOCATION,906,911,TP
Body Paragraph,165,India,LOCATION,1087,1092,TP
Body Paragraph,167,the Promoter Selling Shareholders,ORG,1092,1125,TP
Body Paragraph,167,Syndicate,ORG,1142,1151,TP
Body Paragraph,170,the SEBI ICDR Regulations,ORG,19,44,TP
Body Paragraph,170,India,LOCATION,88,93,TP
Body Paragraph,170,the Stock Exchanges,ORG,269,288,TP
Body Paragraph,170,SEBI,ORG,347,351,TP
Body Paragraph,170,the Book Running Lead Managers,ORG,566,596,TP
Body Paragraph,170,the Stock Exchanges,ORG,839,858,TP
Body Paragraph,170,the Promoter Selling Shareholders,ORG,1007,1040,TP
Body Paragraph,177,84,DATE_TIME,151,153,TP
Body Paragraph,177,this Red Herring Prospectus,ORG,195,222,TP
Body Paragraph,179,India,LOCATION,65,70,TP
Body Paragraph,179,Fiscal 2025,DATE_TIME,106,117,TP
Body Paragraph,179,India,LOCATION,203,208,TP
Body Paragraph,179,Fiscal 2025,DATE_TIME,240,251,TP
Body Paragraph,181,Company,ORG,33,40,TP
Body Paragraph,182,India,LOCATION,64,69,TP
Body Paragraph,182,India,LOCATION,378,383,TP
Body Paragraph,185,Kushal Subbayya Hegde,ORG,0,21,TP
Body Paragraph,185,Pushpa Kushal Hegde,PERSON,23,42,TP
Body Paragraph,185,Rajesh Kushal Hegde,PERSON,44,63,TP
Body Paragraph,185,Rohit Kushal Hegde,PERSON,65,83,TP
Body Paragraph,185,Rakhi Girija Shetty,PERSON,85,104,TP
Body Paragraph,185,Dhaulagiri Family Trust,ORG,106,129,TP
Body Paragraph,185,Everest Family Trust,ORG,131,151,TP
Body Paragraph,185,Makalu Family Trust,ORG,153,172,TP
Body Paragraph,185,Broad Family Trust,ORG,174,192,TP
Body Paragraph,185,Annapurna Family Trust,ORG,194,216,TP
Body Paragraph,185,Kanchenjunga Family Trust,ORG,218,243,TP
Body Paragraph,185,Waterloo Industrial Park VI Private Limited,ORG,248,291,TP
Body Paragraph,187,Offer,ORG,4,9,TP
Body Paragraph,190,"May 6, 2025",DATE,56,67,TP
Body Paragraph,191,the Promoter Selling Shareholders,ORG,13,46,TP
Body Paragraph,191,the Offer for Sale,ORG,348,366,TP
Body Paragraph,191,the Promoter Selling Shareholders,ORG,412,445,TP
Body Paragraph,191,the Offered 	Shares,ORG,461,480,TP
